Time, Center Speed, Front Right Speed, Back Right Speed, Front Left Speed, Back Left Speed, Front Right Angle,,,
"	Back Right Angle", Front Left Angle, Back Left Angle,,,,,,,
14.4209515,0.066217,0.95839,1.04377,0.958546,1.04392,-1.52223,-1.5262,-1.6226,-1.61836
14.4998466,0.0715256,0.951931,1.05097,0.952155,1.05118,-1.51416,-1.51951,-1.63144,-1.62572
14.5757351,0.0741333,0.946154,1.0575,0.946458,1.05778,-1.50686,-1.5136,-1.63958,-1.63233
14.6813512,0.0620261,0.941285,1.06315,0.941601,1.06343,-1.50005,-1.50817,-1.64613,-1.63748
14.7587597,0.110827,0.934149,1.07119,0.934849,1.0718,-1.4925,-1.50254,-1.65811,-1.64693
14.8346471,0.0850298,0.932339,1.07344,0.932962,1.07398,-1.48925,-1.49999,-1.66014,-1.64839
14.9412847,0.0855885,0.932193,1.07359,0.93284,1.07415,-1.4892,-1.49997,-1.66048,-1.64866
15.0434332,0.120141,0.932062,1.07347,0.932972,1.07426,-1.49084,-1.5014,-1.66212,-1.65009
15.1252714,0.102445,0.932128,1.07353,0.932905,1.0742,-1.49001,-1.50067,-1.66129,-1.64936
15.1987105,0.0678003,0.932259,1.07364,0.932773,1.07409,-1.48837,-1.49924,-1.65965,-1.64793
